1741593771.042177307 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741593771.043553720 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=40.6 ms
1741593771.229761355 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=128 ms
1741593771.375538167 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=167 ms
1741593771.473227691 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=163 ms
1741593771.513968639 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=103 ms
1741593771.603241830 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=92.1 ms
1741593771.765074617 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=154 ms
1741593771.846334717 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=133 ms
1741593771.920021726 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=107 ms
1741593772.001473768 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=87.7 ms
1741593772.107153478 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=92.3 ms
1741593772.220323991 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=106 ms
1741593772.317658005 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=101 ms
1741593772.423203046 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=106 ms
1741593772.536792827 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=116 ms
1741593772.666485619 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=145 ms
1741593772.763825746 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=142 ms
1741593772.869503179 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=147 ms
1741593772.982895633 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=160 ms
1741593773.080404252 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=157 ms
1741593773.189791705 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=166 ms
1741593773.271016962 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=147 ms
1741593773.360478888 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=135 ms
1741593773.417464103 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=92.1 ms
1741593773.498913770 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=73.5 ms
1741593773.636552571 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=111 ms
1741593773.734119070 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=105 ms
1741593773.847569701 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=118 ms
1741593773.952956992 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=123 ms
1741593774.050431467 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=120 ms
1741593774.164042620 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=133 ms
1741593774.270011679 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=138 ms
1741593774.353075264 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=121 ms
1741593774.458487222 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=125 ms
1741593774.564075047 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=130 ms
1741593774.661694688 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=127 ms
1741593774.766821737 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=132 ms
1741593774.985450248 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=149 ms
1741593775.155386311 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=118 ms
1741593775.237210537 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=95.8 ms
1741593775.334268815 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=93.2 ms
1741593775.447809722 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=107 ms
1741593775.577426601 64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=132 ms
1741593775.690984867 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=145 ms
1741593775.812736499 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=166 ms
1741593775.893919068 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=147 ms
1741593775.983328171 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=135 ms
1741593776.089038115 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=141 ms
1741593776.194209456 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=146 ms
1741593776.307769050 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=159 ms
1741593776.388941529 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=140 ms
1741593776.502524214 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=153 ms
1741593776.559711008 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=109 ms
1741593776.649121025 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=98.3 ms
1741593776.746911371 64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=95.7 ms
1741593776.868102791 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=118 ms
1741593776.981713274 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=129 ms
1741593777.095356845 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=142 ms
1741593777.208671651 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=155 ms
1741593777.297985906 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=144 ms
1741593777.395431909 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=141 ms
1741593777.460764997 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=105 ms
1741593777.519232034 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=62.1 ms
1741593777.655609915 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=99.5 ms
1741593777.769121871 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=113 ms
1741593777.890797422 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=130 ms
1741593777.988471310 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=127 ms
1741593778.118196655 64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=156 ms
1741593778.215654605 64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=153 ms
1741593778.329140084 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=166 ms
1741593778.426673107 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=162 ms
1741593778.491710901 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=127 ms
1741593778.597033489 64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=132 ms
1741593778.710819016 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=146 ms
1741593778.824521566 64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=159 ms
1741593778.905510023 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=141 ms
1741593779.002838303 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=138 ms
1741593779.068234154 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=102 ms
1741593779.169626960 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=103 ms
1741593779.242906729 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=76.5 ms
1741593779.348837628 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=81.7 ms
1741593779.462309472 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=94.4 ms
1741593779.567754765 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=99.9 ms
1741593779.673464597 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=105 ms
1741593779.786751321 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=118 ms
1741593779.884318609 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=115 ms
1741593780.014175869 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=144 ms
1741593780.111388705 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=141 ms
1741593780.208697925 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=138 ms
1741593780.314246872 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=143 ms
1741593780.411975683 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=140 ms
1741593780.517516012 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=145 ms
1741593780.598646759 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=126 ms
1741593780.647550292 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=74.1 ms
1741593780.761167380 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=87.5 ms
1741593780.866712633 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=93.4 ms
1741593780.980409627 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=107 ms
1741593781.085990679 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=105 ms
1741593781.199652185 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=119 ms
1741593781.304830998 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=124 ms
1741593781.426711228 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=145 ms
1741593781.516058224 64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=134 ms
1741593781.621353544 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=139 ms
1741593781.734860844 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=152 ms
1741593781.840399392 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=157 ms
1741593781.929924740 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=147 ms
1741593782.003234279 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=119 ms
1741593782.068213608 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=84.2 ms
1741593782.176609784 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=90.2 ms
1741593782.287175167 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=103 ms
1741593782.393241923 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=108 ms
1741593782.508587341 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=123 ms
1741593782.613853472 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=128 ms
1741593782.687148543 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=101 ms
1741593782.768440228 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=81.3 ms
1741593782.898101060 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=112 ms
1741593783.003642736 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=115 ms
1741593783.108996847 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=120 ms
1741593783.174259942 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=84.4 ms
1741593783.296160412 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=106 ms
1741593783.409382768 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=116 ms
1741593783.523007448 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=129 ms
1741593783.628572254 64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=134 ms
1741593783.709758493 64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=115 ms
1741593783.782933240 64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=87.3 ms
1741593783.848096308 64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=53.0 ms
1741593783.969771167 64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=74.5 ms
1741593784.099399697 64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=104 ms
1741593784.204985718 64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=108 ms
1741593784.326503449 64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=129 ms
1741593784.432056121 64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=134 ms
1741593784.545645257 64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=147 ms
1741593784.764102225 64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=164 ms
1741593784.974532996 64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=174 ms
1741593785.047669202 64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=147 ms
1741593785.145019993 64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=143 ms
1741593785.250550532 64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=149 ms
1741593785.324136722 64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=121 ms
1741593785.397007225 64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=94.3 ms
1741593785.478429267 64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=75.5 ms
1741593785.600293433 64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=96.5 ms
1741593785.721735115 64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=118 ms
1741593785.827153062 64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=122 ms
1741593785.924724081 64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=119 ms
1741593786.046177017 64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=140 ms
1741593786.167975473 64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=161 ms
1741593786.249131255 64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=142 ms
1741593786.354607034 64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=147 ms
1741593786.428000734 64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=120 ms
1741593786.541247284 64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=133 ms
1741593786.655101863 64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=146 ms
1741593786.768548640 64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=159 ms
1741593786.882147231 64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=172 ms
1741593786.963697885 64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=153 ms
1741593787.068788126 64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=158 ms
1741593787.134057920 64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=122 ms
1741593787.207394734 64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=95.2 ms
1741593787.312611776 64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=101 ms
1741593787.418260321 64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=106 ms
1741593787.534127846 64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=119 ms
1741593787.637365119 64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=124 ms
1741593787.766928500 64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=153 ms
1741593787.872427125 64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=158 ms
1741593787.953809665 64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=139 ms
1741593788.035014520 64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=119 ms
1741593788.140551608 64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=125 ms
1741593788.241898052 64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=126 ms
1741593788.323533631 64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=107 ms
1741593788.420951432 64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=104 ms
1741593788.534549899 64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=117 ms
1741593788.632021980 64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=114 ms
1741593788.761816304 64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=143 ms
1741593788.859124904 64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=140 ms
1741593788.964698650 64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=145 ms
1741593789.078615747 64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=158 ms
1741593789.175644166 64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=155 ms
1741593789.281222266 64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=160 ms
1741593789.362399018 64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=141 ms
1741593789.451747089 64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=129 ms
1741593789.508820800 64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=86.2 ms
1741593789.614808812 64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=91.4 ms
1741593789.727993301 64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=105 ms
1741593789.833430601 64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=108 ms
1741593789.946962736 64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=121 ms
1741593790.044404621 64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=118 ms
1741593790.149726779 64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=123 ms
1741593790.263329769 64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=136 ms
1741593790.360756085 64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=133 ms
1741593790.490462855 64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=162 ms
1741593790.587863802 64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=159 ms
1741593790.685399688 64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=156 ms
1741593790.790764222 64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=161 ms
1741593790.872043105 64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=142 ms
1741593790.961331195 64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=130 ms
1741593791.018455200 64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=87.2 ms
1741593791.124049278 64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=92.3 ms
1741593791.229269328 64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=97.8 ms
1741593791.343477186 64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=112 ms
1741593791.482947829 64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=150 ms
1741593791.564167049 64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=131 ms
1741593791.669561111 64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=136 ms
1741593791.734668835 64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=100 ms
1741593791.840149107 64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=105 ms
1741593791.953805088 64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=117 ms
1741593792.059310745 64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=122 ms
1741593792.164781407 64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=127 ms
1741593792.270319844 64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=132 ms
1741593792.367650356 64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=129 ms
1741593792.473139523 64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=134 ms
1741593792.586696196 64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=147 ms
1741593792.797213372 64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=156 ms
1741593792.910816952 64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=170 ms
1741593793.000220982 64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=159 ms
1741593793.081495228 64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=139 ms
1741593793.146555660 64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=104 ms
1741593793.243889542 64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=101 ms
1741593793.357514333 64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=115 ms
1741593793.471398965 64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=128 ms
1741593793.576948387 64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=133 ms
1741593793.674251330 64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=130 ms
1741593793.763594201 64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=119 ms
1741593793.877100395 64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=132 ms
1741593793.998764125 64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=153 ms
1741593794.104525483 64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=158 ms
1741593794.193732100 64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=147 ms
1741593794.266777211 64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=119 ms
1741593794.356235870 64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=108 ms
1741593794.461746868 64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=114 ms
1741593794.591435973 64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=143 ms
1741593794.689049850 64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=140 ms
1741593794.794330549 64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=145 ms
1741593794.875507000 64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=126 ms
1741593794.932715196 64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=82.2 ms
1741593795.021968991 64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=71.2 ms
