1741592117.244148738 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741592125.898410991 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=89.3 ms
1741592125.995915558 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=86.3 ms
1741592126.101382749 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=91.4 ms
1741592126.215042858 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=105 ms
1741592126.312455639 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=99.4 ms
1741592126.402028627 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=89.1 ms
1741592126.515718902 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=102 ms
1741592126.613045266 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=97.4 ms
1741592126.928375812 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=108 ms
1741592127.025903716 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=101 ms
1741592127.123470048 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=97.4 ms
1741592127.228788872 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=103 ms
1741592127.334215694 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=105 ms
1741592127.407508613 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=74.6 ms
1741592127.488724126 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=55.2 ms
1741592127.574151541 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=40.1 ms
1741592127.674315691 64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=40.1 ms
1741592127.773800988 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=40.1 ms
1741592127.874133913 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=40.1 ms
1741592127.974233373 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=40.1 ms
1741592128.074590448 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=40.1 ms
1741592128.174835371 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=40.1 ms
1741592128.275111228 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=40.1 ms
1741592128.375275489 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=40.1 ms
1741592128.475500001 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=40.1 ms
