1741592258.25431,0
1741592258.359773,0
1741592258.4623616,7
1741592258.5646615,14
1741592258.6674838,19
1741592258.7698455,25
1741592258.8727314,26
1741592258.9750726,26
1741592259.0777621,28
1741592259.1799412,27
1741592259.2825198,30
1741592259.3850048,31
1741592259.4878747,34
1741592259.591044,34
1741592259.693831,32
1741592259.7962563,32
1741592259.898407,33
1741592260.001357,35
1741592260.1041138,35
1741592260.2066026,34
1741592260.3088596,32
1741592260.4115632,34
1741592260.5137024,33
1741592260.6158822,34
1741592260.7185853,35
1741592260.8207343,35
1741592260.9233675,35
1741592261.0255125,35
1741592261.128177,36
1741592261.230871,35
1741592261.3330448,37
1741592261.4359238,38
1741592261.5386066,38
1741592261.6413803,38
1741592261.7438755,38
1741592261.8463864,39
1741592261.9490466,38
1741592262.051712,45
1741592262.1541908,46
1741592262.2566836,46
1741592262.3594282,46
1741592262.4618459,48
1741592262.5646098,49
1741592262.6675339,48
1741592262.7697847,47
1741592262.8727052,48
1741592262.9755373,48
1741592263.0782073,48
1741592263.1803935,49
1741592263.283178,50
1741592263.385685,49
1741592263.4883587,49
1741592263.5910966,49
1741592263.693774,49
1741592263.796008,48
1741592263.8987494,46
1741592264.00161,46
1741592264.1039653,47
1741592264.2067595,45
1741592264.3091414,46
1741592264.4119625,46
1741592264.5144289,49
1741592264.617203,46
1741592264.7199905,43
1741592264.822531,38
1741592264.925327,35
1741592265.0276618,37
1741592265.1304188,35
1741592265.2334137,36
1741592265.3362653,36
1741592265.4388545,36
1741592265.541041,36
1741592265.643814,36
1741592265.7462032,36
1741592265.8489106,36
1741592265.951192,35
1741592266.0536766,35
1741592266.156421,37
1741592266.2588506,37
1741592266.3613195,38
1741592266.4640272,38
1741592266.5665076,38
1741592266.6690612,39
1741592266.7714322,37
1741592266.8740826,39
1741592266.9767182,39
1741592267.079556,39
1741592267.1816704,40
1741592267.284163,39
1741592267.3862906,39
1741592267.4885013,41
1741592267.5909283,40
1741592267.693077,40
1741592267.7956195,40
1741592267.897867,40
1741592268.0001404,41
1741592268.1022205,40
1741592268.204601,40
1741592268.3067613,40
1741592268.4088998,40
1741592268.5113847,40
1741592268.613389,40
1741592268.715882,39
1741592268.8182368,40
1741592268.920404,37
1741592269.0228941,37
1741592269.1253,36
1741592269.227635,36
1741592269.3297904,38
1741592269.4321454,38
1741592269.53442,39
1741592269.6366234,39
1741592269.738756,40
1741592269.8410482,40
1741592269.9431477,40
1741592270.0456052,41
1741592270.1477149,40
1741592270.2500281,41
1741592270.3524523,41
1741592270.4547937,43
1741592270.556881,46
1741592270.6591022,39
1741592270.7613525,36
1741592270.863786,38
1741592270.9659505,34
1741592271.0683174,37
1741592271.1707275,36
1741592271.2729166,35
1741592271.3752303,35
1741592271.478226,36
1741592271.580283,36
1741592271.6826005,36
1741592271.7847772,36
1741592271.8871439,37
