1741592258.398586206 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741592265.717027591 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=474 ms
1741592265.814076058 64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=471 ms
1741592265.903781981 64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=460 ms
1741592265.993118569 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=449 ms
1741592266.122516950 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=478 ms
1741592266.212198577 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=467 ms
1741592266.309373506 64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=464 ms
1741592266.431283804 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=485 ms
1741592266.536509248 64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=490 ms
1741592266.650319133 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=503 ms
1741592266.755869280 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=508 ms
1741592266.861265802 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=514 ms
1741592266.958746734 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=510 ms
1741592267.056209960 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=507 ms
1741592267.153328503 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=504 ms
1741592267.267141226 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=518 ms
1741592267.380400687 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=531 ms
1741592267.477829821 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=528 ms
1741592267.575246594 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=525 ms
1741592267.680797729 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=530 ms
1741592267.794859547 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=543 ms
1741592267.883874647 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=532 ms
1741592267.981019327 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=529 ms
1741592268.086606531 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=534 ms
1741592268.184075040 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=531 ms
1741592268.289330593 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=536 ms
1741592268.386747808 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=532 ms
1741592268.492268456 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=538 ms
1741592268.597709883 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=543 ms
1741592268.695162314 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=540 ms
1741592268.784880817 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=528 ms
1741592268.890006932 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=534 ms
1741592268.979337495 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=522 ms
1741592269.092962223 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=535 ms
1741592269.190458155 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=532 ms
