1741592039.956881406 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741592039.958399202 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=40.4 ms
1741592040.128832107 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=112 ms
1741592040.306866867 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=186 ms
1741592040.388097438 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=166 ms
1741592040.437057141 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=115 ms
1741592040.519126098 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=96.1 ms
1741592040.648209113 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=126 ms
1741592040.737860707 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=113 ms
1741592040.819750124 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=94.5 ms
1741592040.916506101 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=91.9 ms
1741592041.021842842 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=97.3 ms
1741592041.135362940 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=111 ms
1741592041.232930688 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=108 ms
1741592041.338286049 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=113 ms
1741592041.435713872 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=110 ms
1741592041.549173200 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=123 ms
1741592041.646599075 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=120 ms
1741592041.752147424 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=125 ms
1741592041.849537228 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=123 ms
1741592041.963078464 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=136 ms
1741592042.052629674 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=125 ms
1741592042.149922754 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=122 ms
1741592042.263497110 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=135 ms
1741592042.360873805 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=132 ms
1741592042.482261607 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=153 ms
1741592042.579932152 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=150 ms
1741592042.677067994 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=147 ms
1741592042.895909269 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=165 ms
1741592043.106235383 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=172 ms
1741592043.188036514 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=147 ms
1741592043.351901488 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=110 ms
1741592043.440994014 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=96.1 ms
1741592043.546618357 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=102 ms
1741592043.652073492 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=105 ms
1741592043.773654500 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=125 ms
1741592043.895271686 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=146 ms
1741592044.008895265 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=159 ms
1741592044.090130178 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=140 ms
1741592044.187542610 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=137 ms
1741592044.276795730 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=126 ms
1741592044.366136077 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=115 ms
