1741606914.419445802 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741606914.423550932 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=42.0 ms
1741606914.556289708 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=78.8 ms
1741606914.678122700 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=99.5 ms
1741606914.937250662 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=156 ms
1741606914.994166626 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=109 ms
1741606915.181116246 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=94.6 ms
1741606915.286451491 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=100 ms
1741606915.400112755 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=114 ms
1741606915.513714672 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=125 ms
1741606915.627150025 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=138 ms
1741606915.740833871 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=151 ms
1741606915.846380058 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=156 ms
1741606916.057599260 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=166 ms
1741606916.138489837 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=146 ms
1741606916.203692271 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=110 ms
1741606916.301323924 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=107 ms
1741606916.528312551 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=134 ms
1741606916.625687164 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=129 ms
1741606916.722996433 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=126 ms
1741606916.836817314 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=139 ms
1741606917.128675010 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=127 ms
1741606917.307197275 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=102 ms
1741606917.396749896 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=81.2 ms
1741606917.485558394 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=78.3 ms
