1741594073.959671275 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741594073.961017366 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=40.5 ms
1741594074.146559802 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=127 ms
1741594074.357252674 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=236 ms
1741594074.551363252 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=330 ms
1741594074.737612478 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=413 ms
1741594074.835408815 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=410 ms
1741594074.948891160 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=420 ms
1741594075.054436929 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=425 ms
1741594075.151838178 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=415 ms
1741594075.281531076 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=436 ms
1741594075.371250482 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=422 ms
1741594075.484950029 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=430 ms
1741594075.614592408 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=453 ms
1741594075.736351540 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=467 ms
1741594075.817538248 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=448 ms
1741594075.947349980 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=477 ms
1741594076.044635334 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=474 ms
1741594076.150219660 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=478 ms
1741594076.263859496 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=492 ms
1741594076.361180644 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=489 ms
1741594076.466837986 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=494 ms
1741594076.564139982 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=491 ms
1741594076.677598748 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=504 ms
1741594076.783375478 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=509 ms
1741594076.880689319 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=506 ms
1741594076.993927928 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=517 ms
1741594077.091751445 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=514 ms
1741594077.196863376 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=519 ms
1741594077.294699569 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=514 ms
1741594077.424365084 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=533 ms
1741594077.531503944 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=537 ms
1741594077.643633807 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=542 ms
1741594077.757225540 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=550 ms
1741594077.854747112 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=547 ms
1741594077.976345132 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=567 ms
1741594078.131989038 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=623 ms
1741594078.245601798 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=635 ms
1741594078.367240567 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=656 ms
1741594078.464712455 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=654 ms
1741594078.561953965 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=651 ms
1741594078.683829527 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=672 ms
1741594078.845446975 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=733 ms
1741594078.926691358 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=714 ms
1741594079.024139444 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=711 ms
1741594079.121609769 64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=707 ms
1741594079.227052407 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=713 ms
1741594079.324467579 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=709 ms
1741594079.421968751 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=706 ms
1741594079.535665665 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=719 ms
1741594079.608890036 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=691 ms
1741594079.665914709 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=648 ms
1741594079.739147489 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=621 ms
1741594079.812390535 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=593 ms
1741594079.885487035 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=566 ms
1741594079.982912414 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=563 ms
1741594080.152998631 64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=532 ms
1741594080.250313328 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=528 ms
1741594080.363948926 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=542 ms
1741594080.429060674 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=507 ms
1741594080.534547217 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=512 ms
1741594080.623044328 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=498 ms
1741594080.688069376 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=463 ms
1741594080.753329194 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=428 ms
1741594080.842559959 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=417 ms
1741594080.907660598 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=382 ms
1741594080.932342314 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=299 ms
1741594080.997509784 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=264 ms
1741594081.070686795 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=237 ms
1741594081.274252621 64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=332 ms
1741594081.371916618 64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=329 ms
1741594081.485249741 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=342 ms
