1741592323.250330633 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741592323.252455210 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=40.2 ms
1741592323.435954504 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=126 ms
1741592323.629745823 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=217 ms
1741592323.727174969 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=214 ms
1741592323.840955215 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=224 ms
1741592323.938092838 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=220 ms
1741592324.035401036 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=217 ms
1741592324.134006466 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=215 ms
1741592324.231878497 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=212 ms
1741592324.345127008 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=226 ms
1741592324.394948431 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=175 ms
1741592324.444107661 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=123 ms
1741592324.541414700 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=120 ms
1741592324.671128517 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=149 ms
1741592324.817265190 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=194 ms
1741592324.947147545 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=224 ms
1741592325.020617747 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=193 ms
1741592325.118013678 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=189 ms
1741592325.231795214 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=201 ms
1741592325.329211137 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=198 ms
1741592325.418390972 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=187 ms
1741592325.531942240 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=193 ms
1741592325.629284528 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=190 ms
1741592325.694552193 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=152 ms
1741592325.799799080 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=157 ms
1741592325.897353884 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=156 ms
1741592326.010700497 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=169 ms
1741592326.100140441 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=158 ms
1741592326.197891822 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=155 ms
1741592326.311143184 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=168 ms
1741592326.392353390 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=149 ms
1741592326.498317874 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=154 ms
1741592326.670210278 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=226 ms
1741592326.783830697 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=238 ms
1741592326.929410680 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=281 ms
1741592327.067331789 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=318 ms
1741592327.197087774 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=347 ms
1741592327.359153935 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=408 ms
1741592327.472704568 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=420 ms
1741592327.586240453 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=433 ms
1741592327.715984091 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=462 ms
1741592327.845678670 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=489 ms
1741592327.975369059 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=518 ms
1741592328.072777677 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=515 ms
1741592328.186262219 64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=528 ms
1741592328.283835920 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=525 ms
1741592328.381202045 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=521 ms
1741592328.494940420 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=534 ms
1741592328.568026154 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=506 ms
1741592328.681571881 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=520 ms
1741592328.779856711 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=517 ms
1741592328.877458555 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=514 ms
1741592328.990607408 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=527 ms
1741592329.104387845 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=540 ms
1741592329.201710194 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=537 ms
1741592329.315380631 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=551 ms
1741592329.420788520 64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=556 ms
1741592329.493804579 64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=529 ms
1741592329.607695841 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=542 ms
1741592329.705121154 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=539 ms
1741592329.810454109 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=544 ms
1741592329.907891470 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=540 ms
1741592329.997158275 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=529 ms
1741592330.102632921 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=535 ms
1741592330.159611094 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=491 ms
1741592330.184317847 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=415 ms
1741592330.209205389 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=340 ms
1741592330.294459334 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=324 ms
1741592330.351592639 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=281 ms
1741592330.416765990 64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=246 ms
1741592330.457689840 64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=186 ms
1741592330.531035724 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=159 ms
1741592330.628751563 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=156 ms
1741592330.734099566 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=161 ms
1741592330.831321815 64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=158 ms
1741592330.912669079 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=139 ms
1741592331.026230342 64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=152 ms
1741592331.131741467 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=157 ms
1741592331.245395366 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=170 ms
1741592331.310375222 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=135 ms
1741592331.416013805 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=140 ms
1741592331.529365801 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=153 ms
1741592331.642936902 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=166 ms
1741592331.724367979 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=147 ms
1741592331.829728168 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=152 ms
1741592331.927212213 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=149 ms
1741592332.024665072 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=146 ms
1741592332.122234953 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=143 ms
1741592332.227799494 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=148 ms
1741592332.341091212 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=159 ms
1741592332.422435387 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=140 ms
1741592332.528180510 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=145 ms
1741592332.625416496 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=142 ms
1741592332.739053212 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=155 ms
1741592332.820291468 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=136 ms
1741592332.925739367 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=141 ms
1741592333.039354887 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=154 ms
1741592333.152946983 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=167 ms
1741592333.234169226 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=148 ms
1741592333.339713114 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=153 ms
1741592333.437091769 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=150 ms
1741592333.454627818 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=66.3 ms
1741592333.593687239 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=105 ms
1741592333.787867097 64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=199 ms
1741592333.885222759 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=196 ms
1741592334.023143922 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=225 ms
1741592334.217521359 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=319 ms
1741592334.347282785 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=346 ms
1741592334.428461659 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=327 ms
1741592334.542047543 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=337 ms
1741592334.639278154 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=334 ms
1741592334.737045596 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=331 ms
1741592334.826100727 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=320 ms
1741592334.923394784 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=316 ms
1741592335.012784110 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=305 ms
1741592335.110203552 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=302 ms
1741592335.167279519 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=259 ms
1741592335.264683152 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=256 ms
1741592335.362150284 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=253 ms
1741592335.451747694 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=242 ms
1741592335.581408074 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=271 ms
1741592335.694974183 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=285 ms
1741592335.840583694 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=330 ms
1741592335.938236156 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=327 ms
1741592336.019384823 64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=308 ms
1741592336.116784978 64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=304 ms
1741592336.173855547 64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=260 ms
1741592336.271262112 64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=257 ms
