1741593842.980661804 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741593850.108334079 64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=134 ms
1741593850.205729865 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=131 ms
1741593850.319393840 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=144 ms
1741593850.416755483 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=141 ms
1741593850.546576037 64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=170 ms
1741593850.627861862 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=151 ms
1741593850.717204927 64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=139 ms
1741593850.822551980 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=145 ms
1741593850.928225070 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=151 ms
1741593850.973101242 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=95.3 ms
1741593851.078574519 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=101 ms
1741593851.159724473 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=81.2 ms
1741593851.273919397 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=94.8 ms
1741593851.371417446 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=92.2 ms
1741593851.468553277 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=89.6 ms
1741593851.574023663 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=94.4 ms
1741593851.687561453 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=108 ms
1741593851.784959987 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=104 ms
1741593851.890475622 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=109 ms
1741593852.004100756 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=122 ms
1741593852.101499979 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=119 ms
1741593852.198778707 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=116 ms
1741593852.320562675 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=137 ms
1741593852.410156907 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=126 ms
1741593852.523514601 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=139 ms
1741593852.620818045 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=136 ms
1741593852.718251976 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=133 ms
1741593852.832076801 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=146 ms
1741593852.945567239 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=160 ms
1741593853.034744332 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=149 ms
1741593853.148401119 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=162 ms
1741593853.245898190 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=159 ms
1741593853.351259957 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=164 ms
1741593853.432623123 64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=145 ms
1741593853.538016816 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=150 ms
1741593853.611238923 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=123 ms
1741593853.700561104 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=111 ms
1741593853.822192757 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=133 ms
1741593853.927829352 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=138 ms
1741593854.033332441 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=143 ms
1741593854.138711972 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=148 ms
1741593854.252229513 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=161 ms
1741593854.350070459 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=158 ms
1741593854.433251978 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=141 ms
1741593854.490645428 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=96.9 ms
1741593854.627999385 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=135 ms
1741593854.725495546 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=128 ms
1741593854.838987729 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=142 ms
1741593854.944503815 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=148 ms
1741593855.025652955 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=129 ms
1741593855.147267157 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=150 ms
1741593855.244852491 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=147 ms
1741593855.342361633 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=144 ms
1741593855.431780188 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=133 ms
1741593855.520861074 64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=121 ms
1741593855.626102233 64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=127 ms
1741593855.731773360 64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=132 ms
1741593855.845336005 64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=145 ms
1741593855.950840857 64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=151 ms
1741593856.040203100 64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=140 ms
1741593856.153854565 64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=153 ms
1741593856.243187241 64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=142 ms
1741593856.356917880 64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=155 ms
1741593856.446071542 64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=144 ms
1741593856.543783141 64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=141 ms
1741593856.657044964 64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=154 ms
1741593856.754805722 64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=151 ms
1741593856.859962887 64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=156 ms
1741593856.957697652 64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=153 ms
1741593857.038684400 64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=133 ms
1741593857.136344902 64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=130 ms
1741593857.257740902 64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=151 ms
1741593857.363173693 64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=156 ms
1741593857.469044666 64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=161 ms
1741593857.543247708 64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=134 ms
1741593857.639380662 64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=130 ms
1741593857.761194585 64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=152 ms
1741593857.858569276 64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=149 ms
1741593857.963943727 64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=154 ms
1741593858.053192771 64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=143 ms
1741593858.142631650 64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=132 ms
1741593858.256364196 64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=145 ms
1741593858.361560513 64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=150 ms
1741593858.459026981 64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=147 ms
1741593858.564667031 64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=152 ms
1741593858.661955751 64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=149 ms
1741593858.767492134 64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=154 ms
1741593858.857124038 64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=143 ms
1741593858.938239783 64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=123 ms
1741593859.027425605 64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=112 ms
1741593859.110218286 64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=93.4 ms
1741593859.230233499 64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=115 ms
1741593859.352185586 64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=135 ms
1741593859.441304279 64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=124 ms
1741593859.563022357 64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=145 ms
1741593859.660486802 64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=142 ms
1741593859.774190778 64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=155 ms
1741593859.863412829 64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=144 ms
1741593859.968991201 64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=149 ms
1741593860.074329318 64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=154 ms
